CPR_MARKETINGCARRIER,CPR_OTHERCARRIER,CPR_FLIGHTNUMBER,CPR_OPERSUFFIX,CPR_BOARDPOINT,CPR_OFFPOINT,CPR_INBOUNDSERVICE,CPR_DEPARTDATE1,CPR_DEPARTDATE2,CPR_DEPARTTIME1,CPR_DEPARTTIME2,CPR_ARRIVALDATE1,CPR_ARRIVALDATE2,ID_PRODUCTLEVEL,ID_CUSTOMERLEVEL,CPR_TRANSPORTQUAL,CPR_AIRLINEDESIG,CPR_FLIGHTNO,CPR_FLIGHTSUFFIX,CPR_CODESHARETYPE,CPR_OTHERCOMPANY,CPR_COMPANYID,CPR_ORIGIN,CPR_DESTINATION,CPR_FAREFAMILY,CPR_NUMBER,CPR_WEIGHT,CPR_UNITQUAL,CPR_COMPSTATUS,CPR_FARE_INDICATOR,CPR_FARE_ACTION,CPR_FARE_QUALIFIER,CPR_FARE_AMOUNT,CPR_FARE_CURRENCY,CPR_SPL_NUMBER,CPR_PRV_CPNNUMBER,CPR_COUPON_COMPANY,CPR_DATALENGTH,CPR_DATATYPE,CPR_BINARYDATA,DWH_SNAPSHOTTIMESTAMP,CPR_ARRIVALTIME1,CPR_ARRIVALTIME2,CPR_DEPARTDATE,CPR_ARRIVALDATE
MH,,2665,,TWU,KUL,,,,,,,,155685279,54143198,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:34.037,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685280,54143199,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:34.193,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685281,54143199,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:34.490,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685282,54143200,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:34.723,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685283,54143200,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:34.897,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685284,54143201,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:34.990,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685285,54143201,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:35.163,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685286,54143202,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:35.317,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685287,54143202,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:35.503,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685288,54143203,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:35.643,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685289,54143203,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:35.817,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685290,54143204,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:35.973,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685291,54143204,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:36.147,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685292,54143205,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:36.290,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685293,54143205,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:36.430,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685294,54143206,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:36.600,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685295,54143206,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:36.790,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685296,54143207,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:36.930,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685297,54143207,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:37.133,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685298,54143208,,,,,,MH,1A,,,,,50,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:37.307,,,2022-05-28,
MH,,7425,,TWU,KUL,,,,,,,,155685299,54143208,,,,,,MH,1A,,,,,50,,NAU,,,,,,2.32246E+12,2,MH,,,,29MAY2022:08:01:37.480,,,2022-05-28,
MH,,2660,,KUL,TWU,,,,,,,,155685300,54143209,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:37.697,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685301,54143209,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:37.887,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685302,54143210,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:38.057,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685303,54143210,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:38.230,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685304,54143211,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:38.493,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685305,54143211,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:38.680,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685306,54143212,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:38.837,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685307,54143212,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:39.007,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685308,54143213,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:39.167,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685309,54143213,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:39.310,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685310,54143214,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:39.467,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685311,54143214,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:39.640,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685312,54143215,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:39.827,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685313,54143215,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:40.013,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685314,54143216,,,,,,MH,1A,,,,,25,,NAU,,,,,,,,,,,,29MAY2022:08:01:40.187,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685315,54143216,,,,,,MH,1A,,,,,25,,NAU,,,,,,,,,,,,29MAY2022:08:01:40.310,,,2022-05-29,
MH,,616,,SIN,KUL,,,,,,,,155685316,54143217,,,,,,MH,1A,,,,,,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:40.480,,,2022-05-27,
MH,,2660,,KUL,TWU,,,,,,,,155685317,54143217,,,,,,MH,1A,,,,,,,NAU,,,,,,2.32246E+12,2,MH,,,,29MAY2022:08:01:40.687,,,2022-05-28,
MH,,2661,,TWU,KUL,,,,,,,,155685318,54143217,,,,,,MH,1A,,,,,,,NAU,,,,,,,,,,,,29MAY2022:08:01:40.890,,,2022-06-01,
MH,,607,,KUL,SIN,,,,,,,,155685319,54143217,,,,,,MH,1A,,,,,,,NAU,,,,,,,,,,,,29MAY2022:08:01:41.323,,,2022-06-01,
MH,,2660,,KUL,TWU,,,,,,,,155685320,54143218,,,,,,MH,1A,,,,,35,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:41.557,,,2022-05-06,
MH,,2660,,KUL,TWU,,,,,,,,155685321,54143218,,,,,,MH,1A,,,,,35,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:41.683,,,2022-05-21,
MH,,2660,,KUL,TWU,,,,,,,,155685322,54143218,,,,,,MH,1A,,,,,35,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:41.807,,,2022-05-28,
MH,,7424,,KUL,TWU,,,,,,,,155685323,54143218,,,,,,MH,1A,,,,,35,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:41.933,,,2022-05-29,
MH,,2660,,KUL,TWU,,,,,,,,155685324,54143219,,,,,,MH,1A,,,,,40,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:42.107,,,2022-05-28,
MH,,2661,,TWU,KUL,,,,,,,,155685325,54143219,,,,,,MH,1A,,,,,40,,NAU,,,,,,,,,,,,29MAY2022:08:01:42.327,,,2022-06-16,
MH,,2660,,KUL,TWU,,,,,,,,155685326,54143220,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:42.513,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685327,54143220,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,2,MH,,,,29MAY2022:08:01:42.717,,,2022-05-29,
MH,,616,,SIN,KUL,,,,,,,,155685328,54143221,,,,,,MH,1A,,,,,,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:43.013,,,2022-05-27,
MH,,2660,,KUL,TWU,,,,,,,,155685329,54143221,,,,,,MH,1A,,,,,35,,NAU,,,,,,2.32246E+12,2,MH,,,,29MAY2022:08:01:43.263,,,2022-05-28,
MH,,2661,,TWU,KUL,,,,,,,,155685330,54143221,,,,,,MH,1A,,,,,35,,NAU,,,,,,,,,,,,29MAY2022:08:01:43.373,,,2022-06-01,
MH,,607,,KUL,SIN,,,,,,,,155685331,54143221,,,,,,MH,1A,,,,,,,NAU,,,,,,,,,,,,29MAY2022:08:01:43.513,,,2022-06-01,
MH,,2660,,KUL,TWU,,,,,,,,155685332,54143222,,,,,,MH,1A,,,,,,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:43.703,,,2022-05-28,
MH,,7425,,TWU,KUL,,,,,,,,155685333,54143222,,,,,,MH,1A,,,,,,,NAU,,,,,,,,,,,,29MAY2022:08:01:43.907,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685334,54143223,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:44.093,,,2022-05-28,
MH,,2660,,KUL,TWU,,,,,,,,155685335,54143224,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:44.203,,,2022-05-28,
