CPR_REFQUAL,CPR_PRIMEID,ID_PRODUPI,ID_PRODUCTLEVEL,DWH_SNAPSHOTTIMESTAMP
DID,300BE082003EA206,189935576,155684556,29MAY2022:07:47:26.043
DID,0140D94000C00AA5,189935577,155684557,29MAY2022:07:47:26.090
OID,300BE082003EA20A,189935578,155684557,29MAY2022:07:47:26.090
DID,300BE082003EA208,189935579,155684558,29MAY2022:07:47:26.293
DID,300BE082003EA20A,189935580,155684559,29MAY2022:07:47:26.450
DID,300EA0890078AC91,189935581,155684560,29MAY2022:07:47:26.667
DID,300E20890072E71E,189935582,155684561,29MAY2022:07:47:26.840
DID,3003F0880289C5FE,189935583,155684562,29MAY2022:07:47:26.997
DID,3003F0880289C5FF,189935584,155684563,29MAY2022:07:47:27.137
DID,3003F0880289C600,189935585,155684564,29MAY2022:07:47:27.340
DID,30099097002D0890,189935586,155684565,29MAY2022:07:47:27.480
DID,300C608F01CC09D6,189935587,155684566,29MAY2022:07:47:27.680
DID,300C608F01CC09D7,189935588,155684567,29MAY2022:07:47:27.713
DID,300E508F01E2F600,189935589,155684568,29MAY2022:07:47:27.760
DID,300ED09600A3B5A4,189935590,155684569,29MAY2022:07:47:27.837
DID,3.00411E+15,189935591,155684570,29MAY2022:07:47:27.870
DID,3.00411E+15,189935592,155684571,29MAY2022:07:47:27.883
DID,3003409600D9C1C4,189935593,155684572,29MAY2022:07:47:27.917
DID,300A3096006AD3A6,189935594,155684573,29MAY2022:07:47:27.947
DID,3002F09600D63CBB,189935595,155684574,29MAY2022:07:47:28.010
DID,300A3096006AD3A7,189935596,155684575,29MAY2022:07:47:28.027
DID,3004509600E6E5EC,189935597,155684576,29MAY2022:07:47:28.073
DID,300D4096015436B9,189935598,155684577,29MAY2022:07:47:28.120
DID,300CC098002B01E6,189935599,155684578,29MAY2022:07:47:28.150
DID,300C50980026079F,189935600,155684579,29MAY2022:07:47:28.213
DID,300CB0960089CDB7,189935601,155684580,29MAY2022:07:47:28.243
OID,10BFC200006EE9F1,189935602,155684580,29MAY2022:07:47:28.243
UCI,2005D09600004D1C,189935603,155684580,29MAY2022:07:47:28.243
DID,300CC096008A93D8,189935604,155684581,29MAY2022:07:47:28.277
UCI,2005D09600004D1C,189935605,155684581,29MAY2022:07:47:28.277
DID,3000F09300960378,189935606,155684582,29MAY2022:07:47:28.290
UCI,2005B09300026A76,189935607,155684582,29MAY2022:07:47:28.290
DID,10BFC200006EE9F1,189935608,155684583,29MAY2022:07:47:28.323
OID,10BFC200006F10C4,189935609,155684583,29MAY2022:07:47:28.323
