CPR_OTHERSEVICETYPE,CPR_SEATNUMBER1,CPR_SEATCHAR1,CPR_SEATCHAR2,ID_LEGLEVEL_LEGROUTING,ID_PREFLIGHT_SEATINFO,CPR_SEATNUMBER2,DWH_SNAPSHOTTIMESTAMP
ASN,004D,,N,156355574,166182157,,29MAY2022:09:26:09.000
PRE,002D,,,156355578,166182158,,29MAY2022:09:26:09.093
ASN,002D,,N,156355578,166182159,,29MAY2022:09:26:09.093
PRE,010C,,,156355582,166182160,,29MAY2022:09:26:09.173
ASN,010C,,N,156355582,166182161,,29MAY2022:09:26:09.173
PRE,010C,,,156355583,166182162,,29MAY2022:09:26:09.190
ASN,010C,,N,156355583,166182163,,29MAY2022:09:26:09.190
PRE,019E,,,156355584,166182164,,29MAY2022:09:26:09.203
ASN,019E,,N,156355584,166182165,,29MAY2022:09:26:09.203
PRE,008C,,,156355585,166182166,,29MAY2022:09:26:09.237
ASN,008C,,N,156355585,166182167,,29MAY2022:09:26:09.237
PRE,010A,,,156355586,166182168,,29MAY2022:09:26:09.267
ASN,010A,,N,156355586,166182169,,29MAY2022:09:26:09.267
PRE,010B,,,156355587,166182170,,29MAY2022:09:26:09.283
ASN,010B,,N,156355587,166182171,,29MAY2022:09:26:09.283
PRE,021F,,,156355588,166182172,,29MAY2022:09:26:09.313
ASN,021F,,N,156355588,166182173,,29MAY2022:09:26:09.313
PRE,008A,,,156355589,166182174,,29MAY2022:09:26:09.330
ASN,008A,,N,156355589,166182175,,29MAY2022:09:26:09.330
PRE,011A,,,156355590,166182176,,29MAY2022:09:26:09.360
ASN,011A,,N,156355590,166182177,,29MAY2022:09:26:09.360
PRE,020E,,,156355591,166182178,,29MAY2022:09:26:09.377
ASN,020E,,,156355591,166182179,,29MAY2022:09:26:09.377
PRE,011B,,,156355592,166182180,,29MAY2022:09:26:09.407
ASN,011B,,N,156355592,166182181,,29MAY2022:09:26:09.407
PRE,020F,,,156355593,166182182,,29MAY2022:09:26:09.423
ASN,020F,,,156355593,166182183,,29MAY2022:09:26:09.423
PRE,005D,,,156355599,166182184,,29MAY2022:09:26:09.533
ASN,005D,,N,156355599,166182185,,29MAY2022:09:26:09.533
PRE,018B,,,156355600,166182186,,29MAY2022:09:26:09.563
ASN,018B,,N,156355600,166182187,,29MAY2022:09:26:09.563
ASN,023D,,N,156355612,166182188,,29MAY2022:09:26:09.750
PRE,020A,,,156355613,166182189,,29MAY2022:09:26:09.783
ASN,020A,,N,156355613,166182190,,29MAY2022:09:26:09.783
PRE,025F,,,156355614,166182191,,29MAY2022:09:26:09.797
ASN,025F,,N,156355614,166182192,,29MAY2022:09:26:09.797
ASN,016A,,N,156355616,166182193,,29MAY2022:09:26:09.890
PRE,012C,,,156355617,166182194,,29MAY2022:09:26:09.907
ASN,012C,EX,N,156355617,166182195,,29MAY2022:09:26:09.907
PRE,012D,,,156355620,166182196,,29MAY2022:09:26:09.983
ASN,012D,EX,N,156355620,166182197,,29MAY2022:09:26:09.983
PRE,012D,,,156355621,166182198,,29MAY2022:09:26:10.000
ASN,012D,EX,N,156355621,166182199,,29MAY2022:09:26:10.000
PRE,012E,,,156355622,166182200,,29MAY2022:09:26:10.030
ASN,012E,EX,N,156355622,166182201,,29MAY2022:09:26:10.030
PRE,012E,,,156355623,166182202,,29MAY2022:09:26:10.047
ASN,012E,EX,N,156355623,166182203,,29MAY2022:09:26:10.047
PRE,010D,,,156355625,166182204,,29MAY2022:09:26:10.093
ASN,010D,,N,156355625,166182205,,29MAY2022:09:26:10.093
PRE,022B,,,156355626,166182206,,29MAY2022:09:26:10.110
ASN,022B,,N,156355626,166182207,,29MAY2022:09:26:10.110
PRE,019D,,,156355627,166182208,,29MAY2022:09:26:10.140
ASN,019D,,N,156355627,166182209,,29MAY2022:09:26:10.140
PRE,007A,,,156355628,166182210,,29MAY2022:09:26:10.153
ASN,007A,,N,156355628,166182211,,29MAY2022:09:26:10.153
PRE,010F,,,156355630,166182212,,29MAY2022:09:26:10.200
ASN,010F,,N,156355630,166182213,,29MAY2022:09:26:10.200
PRE,022A,,,156355631,166182214,,29MAY2022:09:26:10.217
ASN,022A,,N,156355631,166182215,,29MAY2022:09:26:10.217
PRE,021E,,,156355632,166182216,,29MAY2022:09:26:10.233
ASN,021E,,N,156355632,166182217,,29MAY2022:09:26:10.233
PRE,007C,,,156355633,166182218,,29MAY2022:09:26:10.263
ASN,007C,,N,156355633,166182219,,29MAY2022:09:26:10.263
PRE,009D,,,156355635,166182220,,29MAY2022:09:26:10.297
ASN,009D,,N,156355635,166182221,,29MAY2022:09:26:10.297
PRE,022C,,,156355636,166182222,,29MAY2022:09:26:10.310
ASN,022C,,N,156355636,166182223,,29MAY2022:09:26:10.310
PRE,021D,,,156355637,166182224,,29MAY2022:09:26:10.343
ASN,021D,,N,156355637,166182225,,29MAY2022:09:26:10.343
PRE,007D,,,156355638,166182226,,29MAY2022:09:26:10.360
ASN,007D,,N,156355638,166182227,,29MAY2022:09:26:10.360
PRE,,N,,156355639,166182228,,29MAY2022:09:26:10.390
ASN,006C,,N,156355639,166182229,,29MAY2022:09:26:10.390
ASN,021C,,N,156355640,166182230,,29MAY2022:09:26:10.420
ASN,022C,,N,156355641,166182231,,29MAY2022:09:26:10.437
PRE,010E,,,156355642,166182232,,29MAY2022:09:26:10.467
ASN,010E,,N,156355642,166182233,,29MAY2022:09:26:10.467
PRE,007E,,,156355643,166182234,,29MAY2022:09:26:10.483
ASN,007E,,,156355643,166182235,,29MAY2022:09:26:10.483
ASN,020E,,N,156355644,166182236,,29MAY2022:09:26:10.513
PRE,020F,,,156355645,166182237,,29MAY2022:09:26:10.560
ASN,020F,,N,156355645,166182238,,29MAY2022:09:26:10.560
PRE,020C,,,156355646,166182239,,29MAY2022:09:26:10.577
ASN,020C,,N,156355646,166182240,,29MAY2022:09:26:10.577
ASN,016B,,N,156355647,166182241,,29MAY2022:09:26:10.610
PRE,006D,,,156355648,166182242,,29MAY2022:09:26:10.640
ASN,006D,,N,156355648,166182243,,29MAY2022:09:26:10.640
PRE,008C,,,156355650,166182244,,29MAY2022:09:26:10.670
ASN,008C,,N,156355650,166182245,,29MAY2022:09:26:10.670
ASN,015B,,N,156355651,166182246,,29MAY2022:09:26:10.700
PRE,022A,,,156355652,166182247,,29MAY2022:09:26:10.733
ASN,022A,,N,156355652,166182248,,29MAY2022:09:26:10.733
PRE,007A,,,156355653,166182249,,29MAY2022:09:26:10.763
ASN,007A,,N,156355653,166182250,,29MAY2022:09:26:10.763
PRE,007A,,,156355654,166182251,,29MAY2022:09:26:10.780
ASN,007A,,,156355654,166182252,,29MAY2022:09:26:10.780
PRE,010F,,,156355655,166182253,,29MAY2022:09:26:10.810
ASN,010F,,N,156355655,166182254,,29MAY2022:09:26:10.810
PRE,007F,,,156355656,166182255,,29MAY2022:09:26:10.827
ASN,007F,,,156355656,166182256,,29MAY2022:09:26:10.827
ASN,020D,,N,156355657,166182257,,29MAY2022:09:26:10.873
PRE,,N,,156355659,166182258,,29MAY2022:09:26:10.920
ASN,002F,,N,156355659,166182259,,29MAY2022:09:26:10.920
ASN,028D,,N,156355661,166182260,,29MAY2022:09:26:10.953
ASN,027B,,N,156355662,166182261,,29MAY2022:09:26:10.983
ASN,019A,,N,156355663,166182262,,29MAY2022:09:26:11.017
ASN,019C,,N,156355665,166182263,,29MAY2022:09:26:11.063
ASN,019B,,N,156355667,166182264,,29MAY2022:09:26:11.110
PRE,017C,,,156355669,166182265,,29MAY2022:09:26:11.170
ASN,017C,,N,156355669,166182266,,29MAY2022:09:26:11.170
PRE,026C,,,156355670,166182267,,29MAY2022:09:26:11.203
ASN,026C,,N,156355670,166182268,,29MAY2022:09:26:11.203
PRE,,N,,156355676,166182269,,29MAY2022:09:26:11.330
ASN,027C,,N,156355676,166182270,,29MAY2022:09:26:11.330
ASN,005A,,N,156355677,166182271,,29MAY2022:09:26:11.343
PRE,,N,,156355678,166182272,,29MAY2022:09:26:11.377
ASN,009C,,N,156355678,166182273,,29MAY2022:09:26:11.377
PRE,,N,,156355681,166182274,,29MAY2022:09:26:11.437
ASN,023E,,N,156355681,166182275,,29MAY2022:09:26:11.437
ASN,009A,,N,156355682,166182276,,29MAY2022:09:26:11.470
PRE,018B,,,156355683,166182277,,29MAY2022:09:26:11.483
ASN,018B,,N,156355683,166182278,,29MAY2022:09:26:11.483
PRE,018F,,,156355685,166182279,,29MAY2022:09:26:11.547
ASN,018F,,N,156355685,166182280,,29MAY2022:09:26:11.547
ASN,018D,,N,156355687,166182281,,29MAY2022:09:26:11.593
ASN,018E,,N,156355689,166182282,,29MAY2022:09:26:11.640
PRE,018C,,,156355691,166182283,,29MAY2022:09:26:11.670
ASN,018C,,N,156355691,166182284,,29MAY2022:09:26:11.670
PRE,029C,,,156355693,166182285,,29MAY2022:09:26:11.750
ASN,029C,,N,156355693,166182286,,29MAY2022:09:26:11.750
ASN,025A,,N,156355694,166182287,,29MAY2022:09:26:11.780
PRE,,E,,156355695,166182288,,29MAY2022:09:26:11.813
ASN,014A,EX,N,156355695,166182289,,29MAY2022:09:26:11.813
PRE,003A,,,156355696,166182290,,29MAY2022:09:26:11.920
ASN,003A,,,156355696,166182291,,29MAY2022:09:26:11.920
PRE,007F,,,156355698,166182292,,29MAY2022:09:26:12.233
ASN,007F,,N,156355698,166182293,,29MAY2022:09:26:12.233
PRE,022F,,,156355704,166182294,,29MAY2022:09:26:13.077
ASN,014F,EX,N,156355704,166182295,,29MAY2022:09:26:13.077
PRE,015A,,,156355716,166182296,,29MAY2022:09:26:14.907
ASN,015A,,N,156355716,166182297,,29MAY2022:09:26:14.907
PRE,019B,,,156355717,166182298,,29MAY2022:09:26:15.093
ASN,019B,,N,156355717,166182299,,29MAY2022:09:26:15.093
PRE,026E,,,156355718,166182300,,29MAY2022:09:26:15.220
ASN,026E,,N,156355718,166182301,,29MAY2022:09:26:15.220
PRE,020C,,,156355719,166182302,,29MAY2022:09:26:15.267
ASN,020C,,N,156355719,166182303,,29MAY2022:09:26:15.267
PRE,026D,,,156355720,166182304,,29MAY2022:09:26:15.407
ASN,026D,,N,156355720,166182305,,29MAY2022:09:26:15.407
PRE,020B,,,156355721,166182306,,29MAY2022:09:26:15.563
ASN,020B,,N,156355721,166182307,,29MAY2022:09:26:15.563
PRE,026F,,,156355722,166182308,,29MAY2022:09:26:15.643
ASN,026F,,N,156355722,166182309,,29MAY2022:09:26:15.643
PRE,020A,,,156355723,166182310,,29MAY2022:09:26:15.657
ASN,020A,,N,156355723,166182311,,29MAY2022:09:26:15.657
PRE,025E,,,156355724,166182312,,29MAY2022:09:26:15.690
ASN,025E,,N,156355724,166182313,,29MAY2022:09:26:15.690
PRE,019A,,,156355725,166182314,,29MAY2022:09:26:15.703
ASN,019A,,N,156355725,166182315,,29MAY2022:09:26:15.703
PRE,025D,,,156355726,166182316,,29MAY2022:09:26:15.720
ASN,025D,,N,156355726,166182317,,29MAY2022:09:26:15.737
PRE,,N,,156355739,166182318,,29MAY2022:09:26:15.990
ASN,017A,,N,156355739,166182319,,29MAY2022:09:26:15.990
PRE,011C,,,156355741,166182320,,29MAY2022:09:26:16.043
ASN,011C,,N,156355741,166182321,,29MAY2022:09:26:16.043
PRE,009C,,,156355742,166182322,,29MAY2022:09:26:16.060
ASN,009C,,,156355742,166182323,,29MAY2022:09:26:16.060
PRE,011D,,,156355743,166182324,,29MAY2022:09:26:16.090
ASN,011D,,N,156355743,166182325,,29MAY2022:09:26:16.090
PRE,009D,,,156355744,166182326,,29MAY2022:09:26:16.123
ASN,009D,,,156355744,166182327,,29MAY2022:09:26:16.123
PRE,011E,,,156355745,166182328,,29MAY2022:09:26:16.153
ASN,011E,,N,156355745,166182329,,29MAY2022:09:26:16.153
PRE,009E,,,156355746,166182330,,29MAY2022:09:26:16.170
ASN,009E,,,156355746,166182331,,29MAY2022:09:26:16.170
PRE,011F,,,156355747,166182332,,29MAY2022:09:26:16.200
ASN,011F,,N,156355747,166182333,,29MAY2022:09:26:16.200
PRE,009F,,,156355748,166182334,,29MAY2022:09:26:16.217
ASN,009F,,,156355748,166182335,,29MAY2022:09:26:16.217
ASN,022B,,N,156355749,166182336,,29MAY2022:09:26:16.247
ASN,023B,,N,156355750,166182337,,29MAY2022:09:26:16.280
PRE,006A,,,156355755,166182338,,29MAY2022:09:26:16.373
ASN,006A,,N,156355755,166182339,,29MAY2022:09:26:16.373
PRE,006A,,,156355756,166182340,,29MAY2022:09:26:16.390
ASN,006A,,N,156355756,166182341,,29MAY2022:09:26:16.390
PRE,020A,,,156355757,166182342,,29MAY2022:09:26:16.423
ASN,020A,,N,156355757,166182343,,29MAY2022:09:26:16.423
ASN,029A,,N,156355758,166182344,,29MAY2022:09:26:16.440
ASN,029D,,N,156355767,166182345,,29MAY2022:09:26:16.597
ASN,009E,,N,156355768,166182346,,29MAY2022:09:26:16.630
PRE,009D,,,156355770,166182347,,29MAY2022:09:26:16.677
PRE,009C,,,156355771,166182348,,29MAY2022:09:26:16.690
ASN,009C,,N,156355771,166182349,,29MAY2022:09:26:16.707
PRE,009B,,,156355772,166182350,,29MAY2022:09:26:16.723
ASN,009B,,N,156355772,166182351,,29MAY2022:09:26:16.723
ASN,028F,,N,156355773,166182352,,29MAY2022:09:26:16.770
PRE,007C,,,156355777,166182353,,29MAY2022:09:26:16.863
ASN,007C,,N,156355777,166182354,,29MAY2022:09:26:16.863
PRE,007C,,,156355778,166182355,,29MAY2022:09:26:16.880
ASN,007C,,,156355778,166182356,,29MAY2022:09:26:16.880
ASN,025C,,N,156355779,166182357,,29MAY2022:09:26:16.910
ASN,025B,,N,156355783,166182358,,29MAY2022:09:26:16.990
ASN,016D,,N,156355787,166182359,,29MAY2022:09:26:17.083
PRE,017D,,,156355789,166182360,,29MAY2022:09:26:17.130
ASN,017D,,N,156355789,166182361,,29MAY2022:09:26:17.130
PRE,017E,,,156355791,166182362,,29MAY2022:09:26:17.177
ASN,017E,,N,156355791,166182363,,29MAY2022:09:26:17.177
PRE,016E,,,156355793,166182364,,29MAY2022:09:26:17.223
ASN,016E,,N,156355793,166182365,,29MAY2022:09:26:17.223
ASN,021A,,N,156355795,166182366,,29MAY2022:09:26:17.270
PRE,021A,,,156355796,166182367,,29MAY2022:09:26:17.287
ASN,021A,,N,156355796,166182368,,29MAY2022:09:26:17.287
PRE,009A,,,156355798,166182369,,29MAY2022:09:26:17.333
ASN,009A,,N,156355798,166182370,,29MAY2022:09:26:17.333
PRE,009F,,,156355799,166182371,,29MAY2022:09:26:17.363
ASN,009F,,N,156355799,166182372,,29MAY2022:09:26:17.363
PRE,008D,,,156355800,166182373,,29MAY2022:09:26:17.397
ASN,008D,,N,156355800,166182374,,29MAY2022:09:26:17.397
ASN,006F,,N,156355801,166182375,,29MAY2022:09:26:17.427
ASN,001F,,N,156355802,166182376,,29MAY2022:09:26:17.443
PRE,003D,,,156355805,166182377,,29MAY2022:09:26:17.520
ASN,003D,,N,156355805,166182378,,29MAY2022:09:26:17.520
PRE,003A,,,156355806,166182379,,29MAY2022:09:26:17.537
ASN,003A,,N,156355806,166182380,,29MAY2022:09:26:17.537
PRE,003C,,,156355809,166182381,,29MAY2022:09:26:17.613
ASN,003C,,,156355809,166182382,,29MAY2022:09:26:17.613
ASN,020B,,N,156355810,166182383,,29MAY2022:09:26:17.647
PRE,004A,,,156355811,166182384,,29MAY2022:09:26:17.660
ASN,004A,,N,156355811,166182385,,29MAY2022:09:26:17.660
PRE,003A,,,156355812,166182386,,29MAY2022:09:26:17.693
ASN,003A,,N,156355812,166182387,,29MAY2022:09:26:17.693
ASN,024F,,N,156355813,166182388,,29MAY2022:09:26:17.710
PRE,010D,,,156355814,166182389,,29MAY2022:09:26:17.740
ASN,010D,,N,156355814,166182390,,29MAY2022:09:26:17.740
ASN,001A,,N,156355815,166182391,,29MAY2022:09:26:17.770
PRE,014C,,,156355821,166182392,,29MAY2022:09:26:17.863
ASN,014C,EX,N,156355821,166182393,,29MAY2022:09:26:17.863
PRE,,N,,156355823,166182394,,29MAY2022:09:26:17.910
ASN,014D,EX,N,156355823,166182395,,29MAY2022:09:26:17.910
PRE,015C,,,156355828,166182396,,29MAY2022:09:26:18.007
ASN,015C,,N,156355828,166182397,,29MAY2022:09:26:18.007
PRE,017C,,,156355829,166182398,,29MAY2022:09:26:18.020
ASN,017C,,,156355829,166182399,,29MAY2022:09:26:18.020
PRE,015D,,,156355830,166182400,,29MAY2022:09:26:18.067
ASN,015D,,N,156355830,166182401,,29MAY2022:09:26:18.067
PRE,017D,,,156355831,166182402,,29MAY2022:09:26:18.100
ASN,017D,,,156355831,166182403,,29MAY2022:09:26:18.100
PRE,015E,,,156355832,166182404,,29MAY2022:09:26:18.130
ASN,015E,,N,156355832,166182405,,29MAY2022:09:26:18.130
PRE,017E,,,156355833,166182406,,29MAY2022:09:26:18.147
ASN,017E,,,156355833,166182407,,29MAY2022:09:26:18.147
PRE,015F,,,156355834,166182408,,29MAY2022:09:26:18.177
ASN,015F,,N,156355834,166182409,,29MAY2022:09:26:18.177
PRE,017F,,,156355835,166182410,,29MAY2022:09:26:18.193
ASN,017F,,,156355835,166182411,,29MAY2022:09:26:18.193
PRE,008F,,,156355836,166182412,,29MAY2022:09:26:18.223
ASN,008F,,N,156355836,166182413,,29MAY2022:09:26:18.223
PRE,008E,,,156355837,166182414,,29MAY2022:09:26:18.257
ASN,008E,,N,156355837,166182415,,29MAY2022:09:26:18.257
PRE,026B,,,156355838,166182416,,29MAY2022:09:26:18.287
ASN,026B,,N,156355838,166182417,,29MAY2022:09:26:18.287
PRE,007D,,,156355840,166182418,,29MAY2022:09:26:18.350
ASN,007D,,N,156355840,166182419,,29MAY2022:09:26:18.350
PRE,007E,,,156355841,166182420,,29MAY2022:09:26:18.380
ASN,007E,,N,156355841,166182421,,29MAY2022:09:26:18.380
ASN,028E,,N,156355842,166182422,,29MAY2022:09:26:18.413
PRE,015A,,,156355843,166182423,,29MAY2022:09:26:18.443
ASN,015A,,N,156355843,166182424,,29MAY2022:09:26:18.443
PRE,023F,,,156355851,166182425,,29MAY2022:09:26:18.600
ASN,023F,,N,156355851,166182426,,29MAY2022:09:26:18.600
ASN,012A,EX,N,156355852,166182427,,29MAY2022:09:26:18.630
PRE,012A,,,156355853,166182428,,29MAY2022:09:26:18.663
ASN,012A,EX,N,156355853,166182429,,29MAY2022:09:26:18.663
PRE,026A,,,156355854,166182430,,29MAY2022:09:26:18.680
ASN,026A,,N,156355854,166182431,,29MAY2022:09:26:18.680
PRE,027A,,,156355856,166182432,,29MAY2022:09:26:18.727
ASN,027A,,N,156355856,166182433,,29MAY2022:09:26:18.727
PRE,002D,,,156355858,166182434,,29MAY2022:09:26:18.773
ASN,002D,,N,156355858,166182435,,29MAY2022:09:26:18.773
PRE,,N,,156355859,166182436,,29MAY2022:09:26:18.787
ASN,008F,,,156355859,166182437,,29MAY2022:09:26:18.787
PRE,024A,,,156355861,166182438,,29MAY2022:09:26:18.833
ASN,024A,,N,156355861,166182439,,29MAY2022:09:26:18.833
ASN,007D,,N,156355862,166182440,,29MAY2022:09:26:18.850
ASN,016C,,N,156355863,166182441,,29MAY2022:09:26:18.977
ASN,027F,,N,156355864,166182442,,29MAY2022:09:26:19.003
PRE,020C,,,156355865,166182443,,29MAY2022:09:26:19.037
ASN,020C,,N,156355865,166182444,,29MAY2022:09:26:19.037
ASN,027E,,N,156355866,166182445,,29MAY2022:09:26:19.050
ASN,006F,,N,156355868,166182446,,29MAY2022:09:26:19.113
PRE,003A,,,156355869,166182447,,29MAY2022:09:26:19.130
ASN,003A,,N,156355869,166182448,,29MAY2022:09:26:19.130
PRE,003C,,,156355870,166182449,,29MAY2022:09:26:19.160
ASN,003C,,N,156355870,166182450,,29MAY2022:09:26:19.160
PRE,007B,,,156355871,166182451,,29MAY2022:09:26:19.190
ASN,007B,,N,156355871,166182452,,29MAY2022:09:26:19.190
PRE,007B,,,156355872,166182453,,29MAY2022:09:26:19.207
ASN,007B,,,156355872,166182454,,29MAY2022:09:26:19.207
ASN,029F,,N,156355873,166182455,,29MAY2022:09:26:19.240
ASN,006E,,N,156355874,166182456,,29MAY2022:09:26:19.270
PRE,002C,,,156355877,166182457,,29MAY2022:09:26:19.363
ASN,002C,,N,156355877,166182458,,29MAY2022:09:26:19.363
PRE,,N,,156355878,166182459,,29MAY2022:09:26:19.380
ASN,008E,,,156355878,166182460,,29MAY2022:09:26:19.380
PRE,002A,,,156355879,166182461,,29MAY2022:09:26:19.393
ASN,002A,,N,156355879,166182462,,29MAY2022:09:26:19.393
PRE,,N,,156355880,166182463,,29MAY2022:09:26:19.410
ASN,008D,,,156355880,166182464,,29MAY2022:09:26:19.410
PRE,008B,,,156355881,166182465,,29MAY2022:09:26:19.440
ASN,008B,,N,156355881,166182466,,29MAY2022:09:26:19.440
PRE,008A,,,156355882,166182467,,29MAY2022:09:26:19.473
ASN,008A,,N,156355882,166182468,,29MAY2022:09:26:19.473
ASN,019D,,N,156355883,166182469,,29MAY2022:09:26:19.503
PRE,005B,,,156355884,166182470,,29MAY2022:09:26:19.520
ASN,005B,,N,156355884,166182471,,29MAY2022:09:26:19.520
ASN,019F,,N,156355885,166182472,,29MAY2022:09:26:19.550
PRE,005C,,,156355886,166182473,,29MAY2022:09:26:19.583
ASN,005C,,N,156355886,166182474,,29MAY2022:09:26:19.583
ASN,004C,,N,156355888,166182475,,29MAY2022:09:26:19.630
PRE,012B,,,156355889,166182476,,29MAY2022:09:26:19.660
ASN,012B,EX,N,156355889,166182477,,29MAY2022:09:26:19.660
PRE,011D,,,156355890,166182478,,29MAY2022:09:30:58.720
ASN,011D,,N,156355890,166182479,,29MAY2022:09:30:58.720
ASN,014A,EX,N,156355892,166182480,,29MAY2022:09:30:59.083
ASN,023F,,N,156355917,166182481,,29MAY2022:09:31:02.223
PRE,010F,,,156355919,166182482,,29MAY2022:09:31:02.583
ASN,010F,,N,156355919,166182483,,29MAY2022:09:31:02.583
PRE,010A,,,156355920,166182484,,29MAY2022:09:31:02.740
ASN,010A,,,156355920,166182485,,29MAY2022:09:31:02.740
PRE,021A,,,156355921,166182486,,29MAY2022:09:31:02.930
ASN,021A,,N,156355921,166182487,,29MAY2022:09:31:02.930
PRE,020B,,,156355923,166182488,,29MAY2022:09:31:03.257
ASN,020B,,N,156355923,166182489,,29MAY2022:09:31:03.257
PRE,020C,,,156355925,166182490,,29MAY2022:09:31:03.587
ASN,020C,,N,156355925,166182491,,29MAY2022:09:31:03.587
PRE,020A,,,156355927,166182492,,29MAY2022:09:31:03.913
ASN,020A,,N,156355927,166182493,,29MAY2022:09:31:03.913
ASN,001D,,N,156355929,166182494,,29MAY2022:09:31:04.257
PRE,011F,,,156355933,166182495,,29MAY2022:09:31:04.910
ASN,011F,,N,156355933,166182496,,29MAY2022:09:31:04.910
PRE,011E,,,156355935,166182497,,29MAY2022:09:31:05.207
ASN,011E,,N,156355935,166182498,,29MAY2022:09:31:05.207
PRE,019E,,,156355937,166182499,,29MAY2022:09:31:05.520
ASN,019E,,N,156355937,166182500,,29MAY2022:09:31:05.520
PRE,016B,,,156355938,166182501,,29MAY2022:09:31:05.677
ASN,016B,,,156355938,166182502,,29MAY2022:09:31:05.677
PRE,007A,,,156355939,166182503,,29MAY2022:09:31:05.867
ASN,007A,,N,156355939,166182504,,29MAY2022:09:31:05.867
PRE,007F,,,156355940,166182505,,29MAY2022:09:31:06.007
ASN,007F,,,156355940,166182506,,29MAY2022:09:31:06.007
PRE,015C,,,156355941,166182507,,29MAY2022:09:31:06.210
ASN,015C,,N,156355941,166182508,,29MAY2022:09:31:06.210
PRE,010C,,,156355942,166182509,,29MAY2022:09:31:06.350
ASN,010C,,,156355942,166182510,,29MAY2022:09:31:06.350
ASN,001A,EX,N,156355943,166182511,,29MAY2022:09:31:06.460
PRE,,N,,156355944,166182512,,29MAY2022:09:31:06.583
ASN,006E,,N,156355944,166182513,,29MAY2022:09:31:06.583
PRE,010A,,,156355947,166182514,,29MAY2022:09:31:07.007
ASN,010A,,N,156355947,166182515,,29MAY2022:09:31:07.007
PRE,010A,,,156355948,166182516,,29MAY2022:09:31:07.193
ASN,010A,,N,156355948,166182517,,29MAY2022:09:31:07.193
PRE,009A,,,156355949,166182518,,29MAY2022:09:31:07.333
ASN,009A,,,156355949,166182519,,29MAY2022:09:31:07.333
ASN,012E,EX,N,156355950,166182520,,29MAY2022:09:31:07.537
PRE,012F,,,156355951,166182521,,29MAY2022:09:31:07.740
ASN,012F,EX,N,156355951,166182522,,29MAY2022:09:31:07.740
PRE,,N,,156355953,166182523,,29MAY2022:09:31:08.083
ASN,027D,,N,156355953,166182524,,29MAY2022:09:31:08.083
PRE,,N,,156355955,166182525,,29MAY2022:09:31:08.380
ASN,026D,,N,156355955,166182526,,29MAY2022:09:31:08.380
ASN,007F,,N,156355958,166182527,,29MAY2022:09:31:08.787
PRE,019C,,,156355960,166182528,,29MAY2022:09:31:09.037
ASN,019C,,N,156355960,166182529,,29MAY2022:09:31:09.037
PRE,016D,,,156355961,166182530,,29MAY2022:09:31:09.193
ASN,016D,,,156355961,166182531,,29MAY2022:09:31:09.193
PRE,015E,,,156355962,166182532,,29MAY2022:09:31:09.397
ASN,015E,,N,156355962,166182533,,29MAY2022:09:31:09.397
ASN,011B,,N,156355965,166182534,,29MAY2022:09:31:09.850
PRE,014B,,,156355966,166182535,,29MAY2022:09:31:10.100
ASN,014B,EX,N,156355966,166182536,,29MAY2022:09:31:10.100
ASN,014C,EX,N,156355968,166182537,,29MAY2022:09:31:10.413
PRE,008D,,,156355970,166182538,,29MAY2022:09:31:10.727
ASN,008D,,N,156355970,166182539,,29MAY2022:09:31:10.727
PRE,006F,,,156355972,166182540,,29MAY2022:09:31:11.037
ASN,006F,,N,156355972,166182541,,29MAY2022:09:31:11.037
ASN,007E,,N,156355974,166182542,,29MAY2022:09:31:11.410
ASN,007D,,N,156355976,166182543,,29MAY2022:09:31:11.770
ASN,028A,,N,156355978,166182544,,29MAY2022:09:31:12.147
ASN,025F,,N,156355980,166182545,,29MAY2022:09:31:12.507
PRE,,N,,156355982,166182546,,29MAY2022:09:31:12.833
ASN,027E,,N,156355982,166182547,,29MAY2022:09:31:12.833
PRE,005C,,,156355984,166182548,,29MAY2022:09:31:13.180
ASN,005C,,N,156355984,166182549,,29MAY2022:09:31:13.180
PRE,026F,,,156355985,166182550,,29MAY2022:09:31:13.333
ASN,026F,,N,156355985,166182551,,29MAY2022:09:31:13.333
PRE,005A,,,156355990,166182552,,29MAY2022:09:31:14.003
ASN,005A,,N,156355990,166182553,,29MAY2022:09:31:14.003
PRE,026E,,,156355991,166182554,,29MAY2022:09:31:14.177
ASN,026E,,N,156355991,166182555,,29MAY2022:09:31:14.177
PRE,022D,,,156355996,166182556,,29MAY2022:09:31:14.800
ASN,014D,EX,N,156355996,166182557,,29MAY2022:09:31:14.800
PRE,022C,,,156355998,166182558,,29MAY2022:09:31:15.163
ASN,022D,,N,156355998,166182559,,29MAY2022:09:31:15.163
PRE,022A,,,156356000,166182560,,29MAY2022:09:31:15.520
ASN,022B,,N,156356000,166182561,,29MAY2022:09:31:15.520
PRE,022B,,,156356002,166182562,,29MAY2022:09:31:15.850
ASN,022C,,N,156356002,166182563,,29MAY2022:09:31:15.850
PRE,028F,,,156356004,166182564,,29MAY2022:09:31:16.163
PRE,028D,,,156356006,166182565,,29MAY2022:09:31:16.320
PRE,027B,,,156356008,166182566,,29MAY2022:09:31:16.630
PRE,028E,,,156356010,166182567,,29MAY2022:09:31:16.943
PRE,,N,,156356012,166182568,,29MAY2022:09:31:17.287
ASN,017A,,N,156356012,166182569,,29MAY2022:09:31:17.287
