CPR_OTHERSEVICETYPE,CPR_SEATNUMBER1,CPR_SEATCHAR1,CPR_SEATCHAR2,ID_LEGLEVEL_LEGROUTING,ID_PREFLIGHT_SEATINFO,CPR_SEATNUMBER2,DWH_SNAPSHOTTIMESTAMP
PRE,020A,,,156346529,166173220,,29MAY2022:06:58:51.433
ASN,020A,,N,156346529,166173221,,29MAY2022:06:58:51.433
ASN,012F,EX,N,156346530,166173222,,29MAY2022:06:58:51.623
ASN,014F,EX,N,156346532,166173223,,29MAY2022:06:58:52.057
ASN,014E,EX,N,156346534,166173224,,29MAY2022:06:58:52.433
PRE,002C,,,156346536,166173225,,29MAY2022:06:58:52.777
ASN,002C,,N,156346536,166173226,,29MAY2022:06:58:52.777
PRE,006B,,,156346553,166173227,,29MAY2022:06:58:55.113
ASN,006B,,N,156346553,166173228,,29MAY2022:06:58:55.113
PRE,018B,,,156346554,166173229,,29MAY2022:06:58:55.393
ASN,018B,,N,156346554,166173230,,29MAY2022:06:58:55.393
PRE,005E,,,156346557,166173231,,29MAY2022:06:58:55.940
ASN,005E,,,156346557,166173232,,29MAY2022:06:58:55.940
PRE,005E,,,156346558,166173233,,29MAY2022:06:58:56.130
ASN,005E,,,156346558,166173234,,29MAY2022:06:58:56.130
PRE,023B,,,156346565,166173235,,29MAY2022:06:58:57.160
ASN,023B,,N,156346565,166173236,,29MAY2022:06:58:57.160
PRE,019F,,,156346566,166173237,,29MAY2022:06:58:57.317
ASN,019F,,N,156346566,166173238,,29MAY2022:06:58:57.317
PRE,005B,,,156346567,166173239,,29MAY2022:06:58:57.457
ASN,005B,,,156346567,166173240,,29MAY2022:06:58:57.457
PRE,005E,,,156346568,166173241,,29MAY2022:06:58:57.583
ASN,005E,,,156346568,166173242,,29MAY2022:06:58:57.583
PRE,021A,,,156346569,166173243,,29MAY2022:06:58:57.813
ASN,021A,,N,156346569,166173244,,29MAY2022:06:58:57.813
PRE,026A,,,156346570,166173245,,29MAY2022:06:58:57.987
ASN,026A,,N,156346570,166173246,,29MAY2022:06:58:57.987
PRE,022C,,,156346573,166173247,,29MAY2022:06:58:58.423
ASN,022C,,N,156346573,166173248,,29MAY2022:06:58:58.423
PRE,019D,,,156346574,166173249,,29MAY2022:06:58:58.593
ASN,019D,,N,156346574,166173250,,29MAY2022:06:58:58.593
PRE,005E,,,156346575,166173251,,29MAY2022:06:58:58.720
ASN,005E,,,156346575,166173252,,29MAY2022:06:58:58.720
PRE,005B,,,156346576,166173253,,29MAY2022:06:58:58.817
ASN,005B,,,156346576,166173254,,29MAY2022:06:58:58.817
PRE,023A,,,156346577,166173255,,29MAY2022:06:58:59.037
ASN,023A,,N,156346577,166173256,,29MAY2022:06:58:59.037
PRE,019E,,,156346578,166173257,,29MAY2022:06:58:59.190
ASN,019E,,N,156346578,166173258,,29MAY2022:06:58:59.190
PRE,005D,,,156346579,166173259,,29MAY2022:06:58:59.320
ASN,005D,,,156346579,166173260,,29MAY2022:06:58:59.320
PRE,005C,,,156346580,166173261,,29MAY2022:06:58:59.447
ASN,005C,,,156346580,166173262,,29MAY2022:06:58:59.447
PRE,022A,,,156346581,166173263,,29MAY2022:06:58:59.663
ASN,022A,,N,156346581,166173264,,29MAY2022:06:58:59.663
PRE,019B,,,156346582,166173265,,29MAY2022:06:58:59.820
ASN,019B,,N,156346582,166173266,,29MAY2022:06:58:59.820
PRE,005C,,,156346583,166173267,,29MAY2022:06:58:59.947
ASN,005C,,,156346583,166173268,,29MAY2022:06:58:59.947
PRE,005D,,,156346584,166173269,,29MAY2022:06:59:00.087
ASN,005D,,,156346584,166173270,,29MAY2022:06:59:00.087
PRE,003D,,,156346585,166173271,,29MAY2022:06:59:00.303
ASN,003D,,N,156346585,166173272,,29MAY2022:06:59:00.303
PRE,007B,,,156346586,166173273,,29MAY2022:06:59:00.507
ASN,007B,,N,156346586,166173274,,29MAY2022:06:59:00.507
PRE,006D,,,156346587,166173275,,29MAY2022:06:59:00.683
ASN,006D,,N,156346587,166173276,,29MAY2022:06:59:00.683
ASN,029E,,N,156346598,166173277,,29MAY2022:06:59:02.213
PRE,004A,,,156346601,166173278,,29MAY2022:06:59:02.777
ASN,004A,,N,156346601,166173279,,29MAY2022:06:59:02.777
PRE,003F,,,156346602,166173280,,29MAY2022:06:59:02.947
ASN,003F,,N,156346602,166173281,,29MAY2022:06:59:02.947
ASN,005C,,N,156346603,166173282,,29MAY2022:06:59:03.133
PRE,028E,,,156346605,166173283,,29MAY2022:06:59:03.467
ASN,028E,,N,156346605,166173284,,29MAY2022:06:59:03.467
PRE,028F,,,156346606,166173285,,29MAY2022:06:59:03.730
ASN,028F,,N,156346606,166173286,,29MAY2022:06:59:03.730
PRE,027C,,,156346618,166173287,,29MAY2022:06:59:05.150
ASN,027C,,N,156346618,166173288,,29MAY2022:06:59:05.150
PRE,027B,,,156346620,166173289,,29MAY2022:06:59:05.400
ASN,027B,,N,156346620,166173290,,29MAY2022:06:59:05.400
PRE,027A,,,156346622,166173291,,29MAY2022:06:59:05.717
ASN,027A,,N,156346622,166173292,,29MAY2022:06:59:05.717
PRE,024E,,,156346624,166173293,,29MAY2022:06:59:06.030
ASN,024E,,N,156346624,166173294,,29MAY2022:06:59:06.030
ASN,020C,,N,156346626,166173295,,29MAY2022:06:59:06.313
ASN,025B,,N,156346627,166173296,,29MAY2022:06:59:06.453
PRE,008D,,,156346628,166173297,,29MAY2022:06:59:06.657
ASN,008D,,N,156346628,166173298,,29MAY2022:06:59:06.657
PRE,008D,,,156346629,166173299,,29MAY2022:06:59:06.827
ASN,008D,,N,156346629,166173300,,29MAY2022:06:59:06.827
PRE,008E,,,156346630,166173301,,29MAY2022:06:59:07.027
ASN,008E,,N,156346630,166173302,,29MAY2022:06:59:07.027
PRE,008E,,,156346631,166173303,,29MAY2022:06:59:07.200
ASN,008E,,N,156346631,166173304,,29MAY2022:06:59:07.200
PRE,011A,,,156346632,166173305,,29MAY2022:06:59:07.387
ASN,011A,,N,156346632,166173306,,29MAY2022:06:59:07.387
PRE,007A,,,156346633,166173307,,29MAY2022:06:59:07.573
ASN,007A,,N,156346633,166173308,,29MAY2022:06:59:07.573
PRE,011B,,,156346634,166173309,,29MAY2022:06:59:07.793
ASN,011B,,N,156346634,166173310,,29MAY2022:06:59:07.793
PRE,007B,,,156346635,166173311,,29MAY2022:06:59:07.933
ASN,007B,,N,156346635,166173312,,29MAY2022:06:59:07.933
ASN,005F,,N,156346636,166173313,,29MAY2022:06:59:08.153
ASN,018C,,N,156346638,166173314,,29MAY2022:06:59:08.517
ASN,011A,,N,156346639,166173315,,29MAY2022:06:59:08.720
PRE,016B,,,156346640,166173316,,29MAY2022:06:59:08.877
PRE,,N,,156346644,166173317,,29MAY2022:06:59:09.470
ASN,019A,,N,156346644,166173318,,29MAY2022:06:59:09.470
PRE,,N,,156346645,166173319,,29MAY2022:06:59:09.640
ASN,022A,,N,156346645,166173320,,29MAY2022:06:59:09.640
PRE,019C,,,156346648,166173321,,29MAY2022:06:59:09.987
ASN,019C,,N,156346648,166173322,,29MAY2022:06:59:09.987
PRE,022C,,,156346649,166173323,,29MAY2022:06:59:10.003
ASN,022C,,N,156346649,166173324,,29MAY2022:06:59:10.003
PRE,019B,,,156346652,166173325,,29MAY2022:06:59:10.080
ASN,019B,,N,156346652,166173326,,29MAY2022:06:59:10.080
PRE,022B,,,156346653,166173327,,29MAY2022:06:59:10.097
ASN,022B,,N,156346653,166173328,,29MAY2022:06:59:10.097
ASN,022F,,N,156346656,166173329,,29MAY2022:06:59:10.160
ASN,023E,,N,156346658,166173330,,29MAY2022:06:59:10.190
ASN,022E,,N,156346660,166173331,,29MAY2022:06:59:10.237
ASN,023D,,N,156346662,166173332,,29MAY2022:06:59:10.283
ASN,022D,,N,156346664,166173333,,29MAY2022:06:59:10.330
ASN,023F,,N,156346666,166173334,,29MAY2022:06:59:10.377
PRE,050H,,,156346681,166173335,,29MAY2022:06:59:10.753
ASN,050H,,,156346681,166173336,,29MAY2022:06:59:10.753
PRE,005F,,,156346682,166173337,,29MAY2022:06:59:10.800
ASN,005F,,N,156346682,166173338,,29MAY2022:06:59:10.800
PRE,011D,,,156346683,166173339,,29MAY2022:06:59:10.817
ASN,011D,,N,156346683,166173340,,29MAY2022:06:59:10.817
ASN,002F,,N,156346700,166173341,,29MAY2022:06:59:11.287
PRE,001F,,,156346701,166173342,,29MAY2022:06:59:11.320
ASN,001F,,N,156346701,166173343,,29MAY2022:06:59:11.320
ASN,002D,,N,156346704,166173344,,29MAY2022:06:59:11.397
ASN,001D,,N,156346705,166173345,,29MAY2022:06:59:11.520
PRE,010B,,,156346708,166173346,,29MAY2022:06:59:11.930
ASN,010B,,N,156346708,166173347,,29MAY2022:06:59:11.930
PRE,016B,,,156346710,166173348,,29MAY2022:06:59:12.210
ASN,016B,,N,156346710,166173349,,29MAY2022:06:59:12.210
PRE,010C,,,156346711,166173350,,29MAY2022:06:59:12.397
ASN,010C,,N,156346711,166173351,,29MAY2022:06:59:12.397
PRE,016C,,,156346713,166173352,,29MAY2022:06:59:12.443
ASN,016C,,N,156346713,166173353,,29MAY2022:06:59:12.443
ASN,029E,,N,156346714,166173354,,29MAY2022:06:59:12.490
PRE,020B,,,156346715,166173355,,29MAY2022:06:59:12.520
ASN,020B,,N,156346715,166173356,,29MAY2022:06:59:12.520
PRE,026A,,,156346718,166173357,,29MAY2022:06:59:12.770
ASN,026A,,N,156346718,166173358,,29MAY2022:06:59:12.770
