ID_TICKETS,CPR_DOCUMENTNO,CPR_DOCUMENTTYPE,CPR_STATUS,CPR_ITEMNO,CPR_CPNNO,CPR_SUBQUALIFIER,CPR_LANGUAGE,CPR_SOURCE,CPR_ENCODING,CPR_FREETEXT,CPR_MARKETINGCOMP,ID_PRODUCTLEVEL,CPR_DOCUMENTNO1,CPR_DOCUMENTTYPE1,CPR_STATUS1,DWH_SNAPSHOTTIMESTAMP
61351483,2.32398E+12,E,ASS,,1,4,EN,M,1,SEAT FEE,,155686652,2.32398E+12,E,ASS,29MAY2022:08:19:25.360
61351484,2.32398E+12,E,ASS,,1,4,EN,M,1,SEAT FEE,,155686654,2.32398E+12,E,ASS,29MAY2022:08:19:25.407
61351485,2.32391E+12,E,ASS,,2,,,,,,,155686656,2.32391E+12,E,ASS,29MAY2022:08:19:25.453
61351486,2.32391E+12,E,ASS,,2,,,,,,,155686658,2.32391E+12,E,ASS,29MAY2022:08:19:25.500
61351487,2.32397E+12,E,ASS,,1,,,,,,,155686659,2.32397E+12,E,ASS,29MAY2022:08:19:25.530
61351488,2.32246E+12,E,ASS,,1,,,,,,,155686660,2.32246E+12,E,ASS,29MAY2022:08:19:25.547
61351489,2.32246E+12,E,ASS,,1,,,,,,,155686661,2.32246E+12,E,ASS,29MAY2022:08:21:49.117
61351490,2.32246E+12,E,ASS,,2,,,,,,,155686663,2.32246E+12,E,ASS,29MAY2022:08:21:49.163
61351491,2.32246E+12,E,ASS,,2,,,,,,,155686665,2.32246E+12,E,ASS,29MAY2022:08:21:49.210
61351492,2.32246E+12,E,ASS,,1,,,,,,,155686666,2.32246E+12,E,ASS,29MAY2022:08:21:49.227
61351493,2.32246E+12,E,ASS,,1,,,,,,,155686668,2.32246E+12,E,ASS,29MAY2022:08:21:49.273
61351494,2.32246E+12,E,ASS,,1,,,,,,,155686670,2.32246E+12,E,ASS,29MAY2022:08:21:49.320
61351495,2.32246E+12,E,ASS,,1,,,,,,,155686672,2.32246E+12,E,ASS,29MAY2022:08:21:49.367
61351496,2.32246E+12,E,ASS,,1,,,,,,,155686674,2.32246E+12,E,ASS,29MAY2022:08:21:49.430
61351497,2.32246E+12,E,ASS,,1,,,,,,,155686678,2.32246E+12,E,ASS,29MAY2022:08:21:49.510
61351498,2.32246E+12,E,ASS,,1,,,,,,,155686681,2.32246E+12,E,ASS,29MAY2022:08:21:49.570
61351499,2.32246E+12,E,ASS,,1,,,,,,,155686682,2.32246E+12,E,ASS,29MAY2022:08:21:49.587
61351500,2.32588E+12,E,ASS,,1,,,,,,,155686683,2.32588E+12,E,ASS,29MAY2022:08:21:49.617
61351501,2.32246E+12,E,ASS,,1,,,,,,,155686684,2.32246E+12,E,ASS,29MAY2022:08:21:49.650
61351502,2.32337E+12,E,ASS,,2,,,,,,,155686686,2.32337E+12,E,ASS,29MAY2022:08:21:49.697
61351503,2.32246E+12,E,ASS,,2,,,,,,,155686688,2.32246E+12,E,ASS,29MAY2022:08:21:49.743
61351504,2.32337E+12,E,ASS,,1,4,EN,M,1,EXCESS WEIGHT,,155686689,2.32337E+12,E,ASS,29MAY2022:08:21:49.760
61351505,2.32337E+12,E,ASS,,1,4,EN,M,1,EXCESS WEIGHT,,155686690,2.32337E+12,E,ASS,29MAY2022:08:21:49.790
