ID_BAG_ITIN,CPR_MARKTNG_CARRIER,CPR_FLGHT_NUMBER,CPR_OPT_SUFX,CPR_DEPT_DATE,CPR_BRDPT,CPR_OFFPT,CPR_ARRVDATE,CPR_BAGSTAT_INDC1,CPR_BAGSTAT_INDC2,CPR_BAGSTAT_ACTN1,CPR_BAGSTAT_ACTN2,ID_BAGGAGE_INFO,DWH_SNAPSHOTTIMESTAMP
43446296,MH,2638,,28-May-22,KUL,BKI,,,,,,30816598,29MAY2022:07:34:31.633
43446297,MH,1433,,28-May-22,LGK,KUL,,,,,,30816599,29MAY2022:07:34:31.633
43446298,MH,2638,,28-May-22,KUL,BKI,,,,,,30816599,29MAY2022:07:34:31.633
43446299,MH,2637,,23-May-22,BKI,KUL,,,,,,30816600,29MAY2022:07:34:31.633
43446300,MH,1438,,23-May-22,KUL,LGK,,,,,,30816600,29MAY2022:07:34:31.633
43446301,MH,2638,,24-May-22,KUL,BKI,,,,,,30816601,29MAY2022:07:34:31.633
43446302,MH,2661,,20-May-22,TWU,KUL,,,,,,30816602,29MAY2022:07:34:31.650
43446303,MH,2611,,25-May-22,BKI,KUL,,,,,,30816603,29MAY2022:07:34:31.650
43446304,MH,1450,,25-May-22,KUL,LGK,,,,,,30816603,29MAY2022:07:34:31.650
43446305,MH,1447,,28-May-22,LGK,KUL,,,,,,30816604,29MAY2022:07:34:31.650
43446306,MH,2638,,28-May-22,KUL,BKI,,,,,,30816604,29MAY2022:07:34:31.650
43446307,MH,1433,,28-May-22,LGK,KUL,,,,,,30816605,29MAY2022:07:34:31.650
43446308,MH,2638,,28-May-22,KUL,BKI,,,,,,30816605,29MAY2022:07:34:31.650
43446309,MH,2621,,21-May-22,BKI,KUL,,,,,,30816606,29MAY2022:07:34:31.650
43446310,MH,1438,,23-May-22,KUL,LGK,,,,,,30816607,29MAY2022:07:34:31.650
43446311,MH,2606,,24-May-22,KUL,BKI,,,,,,30816608,29MAY2022:07:34:31.663
43446312,MH,2665,,20-May-22,TWU,KUL,,,,,,30816609,29MAY2022:07:34:31.663
