CPR_ORIGIN,CPR_DESTINATION,ID_LEGLEVEL_LEGROUTING,CPR_IDENTITERMINAL,CPR_LOCIDENTERMINAL,CPR_TRANSSTAGEQUALIFIER,CPR_AIRLINEDESIGNATOR,CPR_FLIGHTNUMBER,CPR_OPERSUFFIX,CPR_UNIQUEREFERENCE,CPR_ATTRIBUTETYPE,CPR_ATTRIDESCRIPTION,CPR_CLASSDESIGNATOR,CPR_TYPE1,CPR_TYPE2,CPR_VALUE1,CPR_VALUE2,CPR_TEXTSUBQUALIFIER,CPR_CODEDLANGUAGE,CPR_CODEDSOURCE,CPR_ENCODING,CPR_TEXTFREETEXT,CPR_ACTIONREQCODE,CPR_TEXTSEMANTIC,CPR_TEXTLANGUAGE,CPR_TEXTSOURCE,CPR_TEXTENCODING,CPR_FREETEXT,CPR_CLSOFSERVICE,ID_PRODUCTLEVEL,CPR_COACHNUMBER,CPR_TEXTSUBQUALIFIER1,CPR_INFORMATIONTYPE1,CPR_CODEDLANGUAGE1,CPR_CODEDSOURCE1,CPR_ENCODING1,CPR_FREETEXT1,CPR_CODEDINDICATOR,CPR_CODEDACTION,CPR_CODEDSTATUSREASON,CPR_SEATNUMBER,DWH_SNAPSHOTTIMESTAMP
KUL,TGG,156346185,M,,,,,,,,,,4,,KUL-054,,,,,,,,,,,,,,155680962,,,,,,,,PPD,0,,,29MAY2022:06:58:04.493
TGG,KUL,156346186,,M,,,,,,,,,4,,TGG-006,,,,,,,,,,,,,,155680963,,,,,,,,PPD,0,,,29MAY2022:06:58:04.637
KUL,BKI,156346187,,,,,,,,,,,,,,,,,,,,,,,,,,,155680964,,,,,,,,PPD,0,,,29MAY2022:06:58:04.730
BKI,KUL,156346188,1,M,,,,,,,,,4,,BKI-010,,,,,,,,,,,,,,155680965,,,,,,,,PPD,0,,,29MAY2022:06:58:04.950
KUL,BKI,156346189,,,,,,,,,,,,,,,,,,,,,,,,,,,155680966,,,,,,,,PPD,0,,,29MAY2022:06:58:05.073
BKI,KUL,156346190,1,M,,,,,,,,,4,,BKI-072,,,,,,,,,,,,,,155680967,,,,,,,,PPD,0,,,29MAY2022:06:58:05.260
KUL,BKI,156346191,,,,,,,,,,,,,,,,,,,,,,,,,,,155680968,,,,,,,,PPD,0,,,29MAY2022:06:58:05.387
KUL,BKI,156346192,,,,,,,,,,,,,,,,,,,,,,,,,,,155680969,,,,,,,,PPD,0,,,29MAY2022:06:58:05.497
BKI,KUL,156346193,1,M,,,,,,,,,4,,BKI-006,,,,,,,,,,,,,,155680970,,,,,,,,PPD,0,,,29MAY2022:06:58:05.700
KUL,BKI,156346194,,,,,,,,,,,,,,,,,,,,,,,,,,,155680971,,,,,,,,PPD,0,,,29MAY2022:06:58:05.840
LDU,BKI,156346195,,1,,,,,,,,,4,,LDU-046,,,,,,,,,,,,,,155680972,,,,,,,,PPD,0,,,29MAY2022:06:58:06.093
BKI,KUL,156346196,1,M,,,,,,,,,4,,BKI-113,,3,,M,1,,,,,,,OK,,155680973,,,,,,,,PPD,0,,,29MAY2022:06:58:06.297
KUL,TGG,156346197,M,,,,,,,,,,4,,KUL-098,,3,,M,1,,,,,,,OK,,155680974,,,,,,,,PPD,0,,,29MAY2022:06:58:06.500
TGG,KUL,156346198,,,,,,,,,,,,,,,,,,,,,,,,,,,155680975,,,,,,,,PPD,0,,,29MAY2022:06:58:06.650
KUL,BKI,156346199,,,,,,,,,,,,,,,,,,,,,,,,,,,155680976,,,,,,,,PPD,0,,,29MAY2022:06:58:06.790
BKI,LDU,156346200,,,,,,,,,,,,,,,,,,,,,,,,,,,155680977,,,,,,,,PPD,0,,,29MAY2022:06:58:06.917
BKI,KUL,156346201,1,M,,,,,,,,,4,,BKI-133,,,,,,,,,,,,,,155680978,,,,,,,,PPD,0,,,29MAY2022:06:58:07.133
BKI,KUL,156346202,1,M,,,,,,,,,4,,BKI-132,,,,,,,,,,,,,,155680979,,,,,,,,PPD,0,,,29MAY2022:06:58:07.400
LDU,BKI,156346203,,,,,,,,,,,,,,,,,,,,,,,,,,,155680980,,,,,,,,PPD,0,,,29MAY2022:06:58:07.557
BKI,KUL,156346204,,,,,,,,,,,,,,,,,,,,,,,,,,,155680981,,,,,,,,PPD,0,,,29MAY2022:06:58:07.633
KUL,KBR,156346205,,,,,,,,,,,,,,,,,,,,,,,,,,,155680982,,,,,,,,PPD,0,,,29MAY2022:06:58:07.713
LDU,BKI,156346206,,,,,,,,,,,,,,,,,,,,,,,,,,,155680983,,,,,,,,PPD,0,,,29MAY2022:06:58:07.840
LDU,BKI,156346207,,,,,,,,,,,,,,,,,,,,,,,,,,,155680984,,,,,,,,PPD,0,,,29MAY2022:06:58:07.963
BKI,KUL,156346208,,,,,,,,,,,,,,,,,,,,,,,,,,,155680985,,,,,,,,PPD,0,,,29MAY2022:06:58:08.073
KUL,KBR,156346209,,,,,,,,,,,,,,,,,,,,,,,,,,,155680986,,,,,,,,PPD,0,,,29MAY2022:06:58:08.167
KBR,KUL,156346210,,,,,,,,,,,,,,,,,,,,,,,,,,,155680987,,,,,,,,PPD,0,,,29MAY2022:06:58:08.277
KUL,BKI,156346211,,,,,,,,,,,,,,,,,,,,,,,,,,,155680988,,,,,,,,PPD,0,,,29MAY2022:06:58:08.387
KBR,KUL,156346212,,,,,,,,,,,,,,,,,,,,,,,,,,,155680989,,,,,,,,PPD,0,,,29MAY2022:06:58:08.510
KUL,BKI,156346213,,,,,,,,,,,,,,,,,,,,,,,,,,,155680990,,,,,,,,PPD,0,,,29MAY2022:06:58:08.573
BKI,LDU,156346214,,,,,,,,,,,,,,,,,,,,,,,,,,,155680991,,,,,,,,PPD,0,,,29MAY2022:06:58:08.667
BKI,LDU,156346215,,,,,,,,,,,,,,,,,,,,,,,,,,,155680992,,,,,,,,PPD,0,,,29MAY2022:06:58:08.777
LDU,BKI,156346216,,1,,,,,,,,,4,,LDU-029,,,,,,,,,,,,,,155680993,,,,,,,,PPD,0,,,29MAY2022:06:58:08.933
