CPR_CARRIERID,CPR_NUMBER,CPR_STATUS,CPR_TIERLEVEL,CPR_PRIORITYCODE,ID_CUSTFQTVINFO,ID_CUSTOMERLEVEL,CCP_SSRCODE,CPR_REFQUALIFIER,CPR_PRIMEID,CPR_COMPANYID,DWH_SNAPSHOTTIMESTAMP
MH,323880513,OK,BLUE,,8263908,54146107,FQTV,UCI,2005B08E0002A1E0,MH,29MAY2022:09:57:43.720
MH,323880513,OK,BLUE,,8263909,54146107,FQTV,UCI,2005D08E0001E85D,MH,29MAY2022:09:57:43.720
MH,314512192,OK,BLUE,,8263910,54146114,FQTV,,,MH,29MAY2022:09:57:45.910
MH,314512251,OK,BLUE,,8263911,54146115,FQTV,,,MH,29MAY2022:09:57:46.207
MH,334790142,OK,BLUE,,8263912,54146116,FQTV,,,MH,29MAY2022:09:57:46.503
MH,60267933,OK,BLUE,,8263913,54146127,FQTV,,,MH,29MAY2022:09:57:50.680
MH,317855296,OK,GOLD,SAPH,8263914,54146129,FQTV,,,MH,29MAY2022:09:57:51.367
MH,312228851,OK,BLUE,,8263915,54146134,FQTV,,,MH,29MAY2022:09:57:53.010
MH,335576415,OK,BLUE,,8263916,54146147,FQTV,,,MH,29MAY2022:09:57:55.420
MH,305630393,OK,BLUE,,8263917,54146169,FQTV,,,MH,29MAY2022:09:59:47.673
MH,322526573,OK,BLUE,,8263424,54141687,FQTV,,,MH,29MAY2022:06:57:59.793
MH,334765292,OK,BLUE,,8263425,54141699,FQTV,,,MH,29MAY2022:06:58:03.933
MH,81851022,OK,BLUE,,8263426,54141714,FQTV,,,MH,29MAY2022:06:58:22.690
MH,303954873,OK,SLVR,RUBY,8263427,54141727,FQTV,,,MH,29MAY2022:06:58:30.737
MH,19025064,OK,PLAT,EMER,8263428,54141728,FQTV,,,MH,29MAY2022:06:58:31.170
MH,304936063,OK,GOLD,SAPH,8263429,54141738,FQTV,,,MH,29MAY2022:06:58:41.417
MH,333150613,OK,BLUE,,8263430,54141739,FQTV,,,MH,29MAY2022:06:58:41.790
MH,333150672,OK,BLUE,,8263431,54141740,FQTV,,,MH,29MAY2022:06:58:42.227
MH,19002771,OK,PLAT,EMER,8263432,54141741,FQTV,,,MH,29MAY2022:06:58:42.633
MH,234397413,OK,BLUE,,8263433,54141759,FQTV,,,MH,29MAY2022:06:58:51.217
MH,60532566,OK,BLUE,,8263434,54141762,FQTV,,,MH,29MAY2022:06:58:51.853
MH,328187112,OK,SLVR,RUBY,8263435,54141764,FQTV,,,MH,29MAY2022:06:58:52.620
MH,315907152,OK,BLUE,,8263436,54141789,FQTV,,,MH,29MAY2022:06:59:03.930
MH,312057675,OK,BLUE,,8263437,54141805,FQTV,,,MH,29MAY2022:06:59:10.127
AA,R12T158,,,,8263438,54141813,FQTV,,,JL,29MAY2022:06:59:10.690
MH,62377291,OK,GOLD,SAPH,8263439,54141819,FQTV,,,MH,29MAY2022:06:59:11.257
MH,310913621,OK,BLUE,,8263440,54141831,FQTV,,,MH,29MAY2022:06:59:14.927
MH,31517124,OK,BLUE,,8263441,54141870,FQTV,,,MH,29MAY2022:06:59:18.237
MH,328187112,OK,SLVR,RUBY,8263442,54141875,FQTV,,,MH,29MAY2022:06:59:18.907
MH,302170282,OK,GOLD,SAPH,8263443,54141896,FQTV,,,MH,29MAY2022:06:59:26.440
MH,325985612,OK,BLUE,,8263444,54141898,FQTV,,,MH,29MAY2022:07:08:48.677
MH,321533984,OK,BLUE,,8263445,54141899,FQTV,,,MH,29MAY2022:07:08:48.893
MH,301108006,OK,PLAT,EMER,8263446,54141900,FQTV,,,MH,29MAY2022:07:08:49.193
MH,13166204,OK,BLUE,,8263447,54141901,FQTV,,,MH,29MAY2022:07:08:49.600
MH,325655212,OK,BLUE,,8263448,54141910,FQTV,,,MH,29MAY2022:07:08:52.853
MH,300675336,OK,BLUE,,8263449,54141924,FQTV,,,MH,29MAY2022:07:09:01.677
MH,323889510,OK,BLUE,,8263450,54141925,FQTV,,,MH,29MAY2022:07:09:01.927
MH,66076323,OK,GOLD,SAPH,8263451,54141934,FQTV,,,MH,29MAY2022:07:09:05.360
MH,12677571,OK,BLUE,,8263452,54141935,FQTV,,,MH,29MAY2022:07:09:05.840
MH,16675606,OK,BLUE,,8263453,54141940,FQTV,,,MH,29MAY2022:07:09:08.980
MH,12466462,OK,BLUE,,8263454,54141944,FQTV,,,MH,29MAY2022:07:09:11.400
MH,330238635,OK,BLUE,,8263455,54141959,FQTV,,,MH,29MAY2022:07:09:18.610
MH,MH335446215,,,,8263456,54141963,FQTV,,,MH,29MAY2022:07:09:30.610
MH,MH335446215,,,,8263457,54141970,FQTV,,,MH,29MAY2022:07:09:34.413
MH,MH335446215,,,,8263458,54141971,FQTV,,,MH,29MAY2022:07:09:34.620
MH,MH335446215,,,,8263459,54141973,FQTV,,,MH,29MAY2022:07:09:35.027
MH,305403556,OK,BLUE,,8263460,54141996,FQTV,,,MH,29MAY2022:07:09:38.477
MH,600736732,OK,SLVR,RUBY,8263461,54142011,FQTV,,,MH,29MAY2022:07:09:42.520
MH,327135314,OK,SLVR,RUBY,8263462,54142018,FQTV,,,MH,29MAY2022:07:09:43.473
MH,64012631,OK,SLVR,RUBY,8263463,54142029,FQTV,,,MH,29MAY2022:07:13:59.723
MH,332593085,OK,BLUE,,8263464,54142040,FQTV,,,MH,29MAY2022:07:14:01.780
MH,333985293,OK,BLUE,,8263465,54142058,FQTV,,,MH,29MAY2022:07:14:03.440
